"year","keyword","LL","total.word","o1","o2","e1","e2","Repeats","Rank"
"2010","imma",688.662386049409,302,252,50,46.4967426414938,255.503257358506,FALSE,1
"2010","like",309.112104325974,10949,2383,8566,1685.73786484012,9263.26213515988,FALSE,2
"2010","bitch",288.527012717887,590,265,325,90.8380071472892,499.161992852711,FALSE,3
"2010","rack",278.227616525237,84,81,3,12.9328688141903,71.0671311858097,FALSE,4
"2010","fuck",258.290974056998,631,266,365,97.1504788304059,533.849521169594,FALSE,5
"2010","wiggle",224.722791754123,115,90,25,17.7057132575225,97.2942867424775,FALSE,6
"2010","go low",218.557626098991,65,63,2,10.0075770585997,54.9924229414003,FALSE,7
"2010","hands",194.119104301907,1018,336,682,156.734053010069,861.265946989931,FALSE,8
"2010","put hands",191.842112519523,193,114,79,29.7148057278421,163.285194272158,FALSE,9
"2010","whoa oh",182.571738443252,160,100,60,24.634035836553,135.365964163447,FALSE,10
"2010","money",174.200147050306,1142,354,788,175.825430783397,966.174569216603,FALSE,11
"2010","bass",173.879934084876,174,103,71,26.7895139722514,147.210486027749,FALSE,12
"2010","oh whoa",172.989504501394,111,79,32,17.0898623616086,93.9101376383913,FALSE,13
"2010","bitches",169.84339023444,276,135,141,42.4937118180539,233.506288181946,FALSE,14
"2010","em dont",152.754136838247,52,48,4,8.00606164687973,43.9939383531203,FALSE,15
"2010","solo",151.443094573622,92,67,25,14.164570606018,77.835429393982,FALSE,16
"2010","just wanna see",148.170948687283,53,48,5,8.16002437085818,44.8399756291418,FALSE,17
"2010","niggas",143.529812528488,392,159,233,60.3533877995549,331.646612200445,FALSE,18
"2010","like diamond",143.341576809312,47,44,3,7.23624802698745,39.7637519730126,FALSE,19
"2010","aah",137.836793478661,190,99,91,29.2529175559067,160.747082444093,FALSE,20
"2010","burn",136.51686145985,335,141,194,51.5775125327829,283.422487467217,FALSE,21
"2010","low can",127.766845302602,45,41,4,6.92832257903053,38.0716774209695,FALSE,22
"2010","animals",126.123971684807,55,46,9,8.4679498188151,46.5320501811849,FALSE,23
"2010","whoa",125.573078665702,687,224,463,105.772391373199,581.2276086268,FALSE,24
"2010","yo hands",124.213138940573,44,40,4,6.77435985505208,37.2256401449479,FALSE,25
"2000","wit",775.353562815036,765,576,189,205.850550717534,559.149449282466,FALSE,1
"2000","club",524.489064021643,612,437,175,164.680440574027,447.319559425973,FALSE,2
"2000","like",382.322059869254,10949,3880,7069,2946.21918928925,8002.78081071075,FALSE,3
"2000","bum",348.58352733754,160,153,7,43.053709953994,116.946290046006,FALSE,4
"2000","girl",332.345312302727,4804,1875,2929,1292.68764136867,3511.31235863133,FALSE,5
"2000","shit",316.337127935634,896,494,402,241.100775742366,654.899224257634,FALSE,6
"2000","go head",312.849265005101,149,141,8,40.0937673946569,108.906232605343,FALSE,7
"2000","shorty",311.79669625907,202,174,28,54.3553088169174,147.644691183083,FALSE,8
"2000","ima",310.672155115671,371,263,108,99.8307899558235,271.169210044177,FALSE,9
"2000","ass",303.617117301655,629,378,251,169.254897256639,459.745102743361,FALSE,10
"2000","pop",292.279672073253,394,269,125,106.01976076171,287.98023923829,FALSE,11
"2000","gon",279.439883759508,705,401,304,189.705409484786,515.294590515214,FALSE,12
"2000","lil",273.03703499224,226,180,46,60.8133653100165,165.186634689984,FALSE,13
"2000","dem",272.892411982219,241,188,53,64.8496506182034,176.150349381797,FALSE,14
"2000","aint",244.138508944181,3592,1398,2194,966.555788467164,2625.44421153284,FALSE,15
"2000","wee",240.727190292507,152,132,20,40.9010244562943,111.098975543706,FALSE,16
"2000","bay",235.990248246662,169,141,28,45.4754811389061,123.524518861094,FALSE,17
