"keyword","X1960","X1970","X1980","X1990","X2000","X2010"
"aaaa",1,2,0,0,8,0
"aah",4,22,19,44,2,99
"aah dont",0,1,1,0,0,5
"abandoned",1,0,1,2,1,0
"ability",0,1,2,1,0,0
"ablaze",1,2,0,0,1,0
"able",5,6,5,9,7,4
"able see",0,1,1,0,2,0
"aboard",0,4,1,3,3,0
"aboutbut",0,0,1,2,1,0
"abovei",0,0,2,1,2,0
"absolutely",0,10,0,1,7,1
"absurd",0,4,1,0,2,1
"abuse",0,9,4,0,3,0
"abused",0,2,3,1,4,1
"abusin",0,0,0,2,3,1
"accent",0,2,0,2,0,1
"accept",6,4,5,5,5,2
"accepted",0,2,1,3,0,0
"account",0,1,1,8,4,2
"accounts",0,1,0,1,0,1
"accused",0,1,1,0,0,1
"ace",0,1,1,1,0,4
"aces",0,1,1,0,0,1
"ache",1,7,4,2,1,3
"aches",0,0,5,5,2,0
"achieve",1,0,2,7,1,0
"achin",0,0,0,2,2,1
"aching",1,3,5,3,2,3
"acres",1,0,0,0,2,2
"across",18,40,42,36,38,18
"across bar",0,1,0,0,1,1
"across floor",0,10,2,1,1,0
"across heart",1,0,7,0,1,1
"across nation",1,1,2,0,0,0
"across page",0,1,1,1,0,0
"across page suddenly",0,1,1,1,0,0
"across page suddenly day",0,1,1,1,0,0
"across room",0,2,0,2,8,0
"across sky",2,8,4,0,0,0
"across world",0,0,1,2,1,0
"act",0,16,17,48,179,44
"act age",0,1,2,0,1,0
"act fool",0,0,0,1,10,2
"act like",0,0,3,13,81,20
"act like dont",0,0,0,1,13,4
"act way",0,1,0,1,2,0
"acted",1,0,1,1,0,0
"actin",0,1,3,5,36,18
"actin like",0,1,0,2,11,13
"acting",4,5,8,19,44,17
"acting like",0,1,1,11,13,8
"action",2,15,10,13,20,1
"actions",0,0,0,4,2,1
"actor",0,2,2,2,0,0
"adam",1,0,1,0,2,5
"add",6,3,6,5,3,8
"addicted",1,0,20,6,29,13
"addiction",0,0,3,4,3,2
"address",1,4,2,2,0,3
"admire",0,1,1,0,1,3
"admit",0,4,12,13,36,25
"admit got",0,1,0,0,3,5
"admit im",0,0,0,2,4,10
"adolescent",0,2,0,1,2,0
"adore",8,3,2,25,22,15
"adore adore",0,0,0,4,3,4
"adore just",0,0,0,2,1,2
"adore ya",1,3,0,5,0,0
"adored",0,11,0,2,2,0
"adrift",0,1,1,7,0,0
"advantage",2,1,1,2,6,1
"adventure",2,2,3,2,0,2
"advice",9,2,9,9,17,6
"aeroplane",3,2,1,0,0,0
"affair",3,37,35,8,4,0
"affairs",1,1,1,2,0,0
"affect",0,0,0,3,3,3
"affection",4,8,8,11,8,1
"afford",1,9,5,2,4,3
"afraid",20,22,50,48,55,44
"afraid dont",2,0,1,0,1,4
"afraid im",0,0,2,1,0,4
"afraid just",0,1,2,1,0,0
"afraid let",1,0,5,2,0,0
"afraid lose",0,0,1,1,2,2
"afraid love",2,2,0,0,2,0
"afraid show",0,1,0,1,0,4
"africa",1,1,9,0,4,1
"afro",1,2,0,1,6,2
"afternoon",8,20,7,4,9,1
"againa",0,0,1,2,1,0
"againand",1,0,5,5,6,0
"againcause",0,0,2,0,4,3
"againcome",0,1,3,0,0,1
"againdo",0,0,1,0,2,1
"againdont",3,1,0,1,0,0
"againi",1,9,16,4,7,2
"againi know",0,2,1,1,0,0
"againif",0,2,1,4,1,0
"againim",0,1,2,1,1,0
"againits",0,1,0,2,3,0
"againnow",0,1,0,2,2,0
"againoh",1,1,0,4,6,4
"againplease",1,1,0,3,0,0
"againso",0,1,1,5,1,0
"againthe",0,2,3,0,5,1
"againtheres",1,0,0,1,0,2
"againwell",0,0,2,1,1,0
"againwhen",0,1,2,3,2,0
"againyou",1,5,5,2,0,0
"age",5,6,13,7,11,27
"ages",1,5,1,1,1,0
"ago",11,25,26,31,16,16
"ago dont",0,2,0,0,3,1
"ago now",1,1,0,0,1,0
"ago said",0,2,1,0,1,0
"agree",4,5,7,6,8,4
"agreed",0,1,5,0,0,2
"ah aah",0,0,1,1,0,1
"ah ah",10,3,32,63,90,15
"ah ah ah",3,0,17,41,42,4
"ah ah ah ah",1,0,12,20,25,1
"ah baby",4,1,2,0,0,1
"ah come",9,5,8,2,0,0
"ah dont",5,0,3,0,4,0
"ah got",0,1,0,0,6,1
"ah ha",2,13,6,1,0,0
"ah hey",0,0,2,0,1,1
"ah im",0,1,4,0,3,1
"ah just",0,2,1,3,3,0
"ah know",2,0,3,1,0,0
"ah now",2,1,3,1,0,0
"ah oh",1,1,1,17,6,2
"ah oh oh",1,1,0,1,0,0
"ah ooh",0,2,3,0,1,0
"ah think",0,3,0,5,1,0
"ah uh",0,0,0,2,5,2
"ah yeah",2,1,1,19,3,17
"ah yes",1,3,0,2,0,0
"ah youre",1,1,1,0,0,2
"aha",4,5,0,0,0,1
"ahah",0,3,1,2,7,0
"ahead",7,16,30,44,38,30
"ahead get",1,0,0,0,2,6
"ahead just",0,0,3,1,3,0
"ahh",3,19,7,14,16,1
"ahh ahh",0,6,0,3,7,0
"ahh ahh ahh",0,2,0,2,3,0
"ahhh",3,2,2,0,0,1
"ahhhh",1,0,1,2,0,0
"ahi",0,0,0,1,1,2
"ahyou",0,1,0,0,6,1
"aid",0,0,1,4,2,1
"aids",0,1,0,1,1,1
"aim",0,1,7,2,18,15
"aimed",0,0,1,3,0,1
"aiming",1,1,1,1,0,3
"aint",188,356,387,583,1398,680
"aint afraid",1,0,9,3,5,4
"aint aint",0,16,1,0,7,13
"aint always",0,1,2,1,1,4
"aint around",1,0,0,0,2,5
"aint bad",0,7,8,0,1,2
"aint beautiful",1,3,0,0,1,0
"aint big",1,0,1,0,7,1
"aint big deal",1,0,1,0,1,1
"aint call",0,1,0,1,2,0
"aint come",0,0,0,1,6,1
"aint comin",0,3,0,1,1,1
"aint coming",0,2,0,2,6,1
"aint cool",0,1,1,5,3,0
"aint crazy",0,3,1,1,0,0
"aint damn",0,0,0,2,1,2
"aint damn thing",0,0,0,2,1,1
"aint done",0,0,0,3,1,2
"aint dont",0,1,0,2,1,0
"aint doubt",3,2,0,0,4,4
"aint easy",8,1,6,4,8,0
"aint easy aint",1,0,1,0,1,0
"aint enough",0,1,2,6,1,9
"aint even",0,2,1,5,42,38
"aint ever",0,0,0,2,1,7
"aint fair",0,0,2,1,4,5
"aint feeling",0,1,2,0,2,0
"aint finished",0,0,0,1,1,3
"aint free",0,1,2,0,0,1
"aint fuckin",0,0,0,1,1,17
"aint fucking",0,0,0,2,3,1
"aint funny",0,1,0,2,7,2
